Method,Iteration,Type,Token Usage,Execution Time
See-Saw,1,main,23,2.632965087890625
See-Saw,2,dependency,23,2.07527756690979
See-Saw,3,dependency,36,4.9130332469940186
See-Saw,4,dependency,56,2.752192497253418
See-Saw,5,dependency,34,7.967479705810547
See-Saw,6,dependency,57,10.040640115737915
See-Saw,7,dependency,73,7.867898464202881
See-Saw,8,dependency,102,11.136513948440552
See-Saw,9,dependency,24,9.521841049194336
See-Saw,10,dependency,98,8.909546136856079
See-Saw,11,dependency,31,11.956058979034424
See-Saw,12,dependency,27,11.051106452941895
See-Saw,13,dependency,161,18.05253839492798
See-Saw,14,dependency,91,17.19774103164673
See-Saw,15,dependency,46,18.28809642791748
See-Saw,16,dependency,205,22.151925325393677
See-Saw,17,dependency,166,19.673110008239746
See-Saw,18,dependency,41,16.25626254081726
See-Saw,19,dependency,55,15.157671689987183
See-Saw,20,dependency,108,24.34130859375
See-Saw,21,dependency,120,16.869475603103638
See-Saw,22,dependency,229,28.206650257110596
See-Saw,23,dependency,176,27.754698514938354
See-Saw,24,dependency,185,24.28926992416382
See-Saw,25,dependency,146,24.226305961608887
See-Saw,26,dependency,216,36.462886095047
See-Saw,27,dependency,100,35.78291344642639
See-Saw,28,dependency,61,22.178833961486816
See-Saw,29,dependency,107,19.973028659820557
See-Saw,30,dependency,67,13.129802465438843
See-Saw,31,main,48,1.4281158447265625
See-Saw,32,dependency,23,3.4336440563201904
See-Saw,33,dependency,24,3.7617475986480713
See-Saw,34,dependency,36,3.2617759704589844
See-Saw,35,dependency,67,5.842883110046387
See-Saw,36,dependency,34,10.41996693611145
See-Saw,37,dependency,81,12.12660837173462
See-Saw,38,dependency,124,24.835638523101807
See-Saw,39,dependency,93,13.350611925125122
See-Saw,40,dependency,23,8.721853971481323
See-Saw,41,dependency,92,6.01149582862854
See-Saw,42,dependency,176,7.432153940200806
See-Saw,43,dependency,84,8.253189325332642
See-Saw,44,dependency,52,5.438886642456055
See-Saw,45,dependency,44,10.826155424118042
See-Saw,46,dependency,188,11.632237911224365
See-Saw,47,dependency,149,10.366152048110962
See-Saw,48,dependency,40,6.283203363418579
See-Saw,49,dependency,53,6.497735977172852
See-Saw,50,dependency,99,7.511401414871216
See-Saw,51,dependency,94,11.50000810623169
See-Saw,52,dependency,51,7.551984786987305
See-Saw,53,dependency,204,15.685337781906128
See-Saw,54,dependency,166,13.02275800704956
See-Saw,55,dependency,197,14.069752216339111
See-Saw,56,dependency,140,14.495710611343384
See-Saw,57,dependency,94,14.465218305587769
See-Saw,58,dependency,98,13.260369300842285
See-Saw,59,dependency,20,5.582029104232788
See-Saw,60,dependency,31,5.965169906616211
See-Saw,61,main,41,3.0001018047332764
See-Saw,62,dependency,21,3.120932102203369
See-Saw,63,dependency,139,9.33643364906311
See-Saw,64,dependency,33,1.9216914176940918
See-Saw,65,dependency,62,6.954031229019165
See-Saw,66,dependency,34,2.023479461669922
See-Saw,67,dependency,143,11.131392478942871
See-Saw,68,dependency,128,11.225768089294434
See-Saw,69,dependency,139,11.762489795684814
See-Saw,70,dependency,27,8.134473085403442
See-Saw,71,dependency,192,9.748420715332031
See-Saw,72,dependency,52,8.830618858337402
See-Saw,73,dependency,95,7.770016431808472
See-Saw,74,dependency,36,7.960848808288574
See-Saw,75,dependency,34,12.07709527015686
See-Saw,76,dependency,247,22.011138439178467
See-Saw,77,dependency,218,19.298349618911743
See-Saw,78,dependency,40,17.20638871192932
See-Saw,79,dependency,69,16.70813798904419
See-Saw,80,dependency,124,24.372219562530518
See-Saw,81,dependency,167,23.600334882736206
See-Saw,82,dependency,146,24.37276601791382
See-Saw,83,dependency,433,41.53070616722107
See-Saw,84,dependency,230,30.428722381591797
See-Saw,85,dependency,292,42.559638023376465
See-Saw,86,dependency,228,29.39533042907715
See-Saw,87,dependency,85,20.16554617881775
See-Saw,88,dependency,70,20.853381395339966
See-Saw,89,dependency,20,1.6738967895507812
See-Saw,90,dependency,30,2.361801862716675
